"","AS_home_advan","AS_tournie_level","AS_left_hand_advan","AS_age","AS_fatigue","AS_rank_points","AS_serve.returnpt","AS_return.servept","AS_serve.returng","AS_return.serveg","AS_serve.returnpt_os","AS_return.servept_os","AS_serve.returng_os","AS_return.serveg_os","AS_serve.returnpt_hth","AS_return.servept_hth","AS_serve.returng_hth","AS_return.serveg_hth","AS_serve.returnpt_hth_os","AS_return.servept_hth_os","AS_serve.returng_hth_os","AS_return.serveg_hth_os","AS_serve.returnpt_co","AS_return.servept_co","AS_serve.returng_co","AS_return.serveg_co","AS_serve.returnpt_co_os","AS_return.servept_co_os","AS_serve.returng_co_os","AS_return.serveg_co_os","AS_matchw","AS_matchw_os","AS_hth_matchw","AS_hth_matchw_os","AS_matchw_co","AS_matchw_co_os","AS_tbw","AS_win_lose_binary","surface.LR.","AS_rank","V41"
"12",0,0,0,8.89253936,-78,6275,0.672328688198631,0.382751982295685,0.833777659935264,0.276156323019499,0.68132993451201,0.381310713787194,0.848706537298109,0.266343708245943,0,0,0,0,0,0,0,0,0.681080767398873,0.389743841573136,0.861030181995716,0.282892317180432,0.68849864986503,0.382688532077243,0.871995660866614,0.269540350229966,0.585376727596968,0.633074935400517,0,0,0.655804480651731,0.672727272727273,0.558669001751314,1,"Hard",6,1.11
"13",0,0,0,12.07118412,78,1165,0.654757107041833,0.370650813046457,0.783041808991544,0.243735359640439,0.662025691817885,0.370966870915246,0.80838596853949,0.250885460426954,0.727691871333333,0.356493413333333,0.891666666666667,0.237037036666667,0.742481203,0.3993234535,0.9,0.2888888885,0.659886587747538,0.363147411651537,0.800682373937703,0.222962118799522,0.663110269063446,0.373575045328624,0.813478332507295,0.249046628381735,0.534676382340334,0.534178538753104,0.333333333333333,0.5,0.53458138325533,0.548926014319809,0.539446721311475,0,"Hard",2,3.62
"14",0,0,0,14.67761807,0,3520,0.679121873182276,0.365359115960765,0.836725841154469,0.239336004542627,0.682715761203909,0.369602289109147,0.847835506731282,0.249705924238174,0.819672131,0.5,1,0.545454545,0,0,0,0,0.691397692751414,0.366503205460329,0.86130256239347,0.235003418638609,0.701540435975086,0.362730502794116,0.875120331643288,0.235021782229127,0.582639714625446,0.622641509433962,1,0,0.642072213500785,0.662337662337662,0.545454545454545,1,"Hard",5,1.16
"16",0,0,0,-3.9835729,97,-8068,0.603542565098926,0.344089032957515,0.710473977772205,0.205238915776374,0.60909754145022,0.341510158843455,0.724664171512278,0.20506935843407,0.59222561,0.2956171735,0.6971153845,0.107142857,0.62195122,0.360465116,0.769230769,0.214285714,0.595230451186263,0.339095011634239,0.694377321723852,0.193734960889759,0.607158072021004,0.333677122733394,0.728449375012098,0.188546060486512,0.401897483199368,0.419142997865704,0,0,0.344497607655502,0.372093023255814,0.39870340356564,0,"Hard",-26,1.1
"18",0,0,0,-5.0403833,44,-360,0.633631552376089,0.363152093336336,0.775356014250829,0.227257414916567,0.642789274558224,0.333124261766337,0.776915710320312,0.17138206206903,0,0,0,0,0,0,0,0,0.625147016172545,0.348063274182951,0.779277044788524,0.195341778259605,0.626002809201961,0.32434851298113,0.757781027993995,0.162049771616137,0.513718622300058,0.454545454545455,0,0,0.449438202247191,0.4,0.549222797927461,0,"Hard",-15,1.22
"19",-1,0,1,-12.61875428,38,-890,0.632604867103033,0.350340203665472,0.754531250100451,0.189778626231859,0.630657412423588,0.350823449708681,0.746585948073697,0.195331530457792,0.627777778,0.333333333,0.75862069,0.172413793,0.627777778,0.333333333,0.75862069,0.172413793,0.632903254723181,0.339146457832338,0.761755066568188,0.167956184694718,0.6342579388082,0.34968386099137,0.753341647109794,0.186314905791914,0.454505300353357,0.45210613101484,0,0,0.442553191489362,0.490304709141274,0.486815415821501,1,"Hard",-15,1.72
"20",1,0,-1,1.12799453,169,-7995,0.608835619244904,0.326157794519246,0.682255586515771,0.166239248291306,0.623171897909236,0.319218237482648,0.716296972207454,0.148918375672091,0.543209877,0.158730159,0.583333333,0,0,0,0,0,0.602855867031935,0.310883163457874,0.667954663662768,0.130299480151326,0.644232667217918,0.305785922851656,0.78902785482554,0.120628104534651,0.407267740829619,0.406919275123559,0,0,0.346820809248555,0.4,0.506024096385542,0,"Hard",-33,1.15
"21",0,0,0,7.633128,-51,8835,0.659519277515289,0.391053856437445,0.802293795693107,0.284843604913758,0.668514605603648,0.386693934350776,0.819468692268129,0.270806962751136,0.666747431666667,0.390346829,0.819285977,0.241906242,0.623376623,0.397435897,0.818181818,0.272727273,0.676192950527724,0.393452630279754,0.84066199705087,0.292470668952606,0.68660659550989,0.385975698007113,0.865730452154281,0.265652531794881,0.604838709677419,0.604357564650784,0.666666666666667,1,0.626923076923077,0.62987012987013,0.611650485436893,1,"Hard",74,1.08
"23",-1,0,0,-9.29500342,-99,232,0.647643931682023,0.363013240013708,0.802810340449811,0.22779100574905,0.663451634385802,0.332479171727816,0.817648613390543,0.172655179789593,0.585234982,0.381988903,0.69375,0.167647059,0,0,0,0,0.626869063282252,0.362489769384215,0.785151645433061,0.232067466685278,0.632163893268675,0.325561829043986,0.786547546484748,0.176155610329424,0.52223447262036,0.476089266737513,0.5,0,0.495412844036697,0.4,0.567307692307692,1,"Hard",23,2.5
"24",0,0,0,-2.30253251,-24,4018,0.645851135074783,0.373311792245401,0.789882148460688,0.24028170825813,0.648668695128722,0.361792241138401,0.792382977396407,0.210186742330829,0.640377255,0.3411389295,0.78125,0.1838235295,0.64516129,0.329896907,0.8125,0.117647059,0.64410110598151,0.365346951479612,0.788509206843657,0.214199577665014,0.657478047595479,0.34776755541014,0.800628412988844,0.170691239871433,0.574347332576618,0.556962025316456,0.5,0,0.598290598290598,0.58974358974359,0.568143952015995,0,"Hard",22,2.19
"25",0,0,1,-1.98494182,46,-2875,0.624181715359746,0.343093054587891,0.748358932952566,0.187990118677324,0.633596341977546,0.344893171491646,0.767565771808433,0.197271284291419,0.5465838505,0.264285714,0.6414141415,0.0454545455,0.571428571,0.314285714,0.727272727,0.090909091,0.622139034368705,0.341302621661028,0.744100512067195,0.181270665941872,0.640102099435193,0.332615056408542,0.785939461113776,0.177786163777594,0.440711878685762,0.470402802101576,0,0,0.444805194805195,0.496402877697842,0.421974522292994,1,"Hard",-22,2.91
"26",-1,0,0,-3.19507187,99,-1328,0.613945334463063,0.363890581849516,0.733664635936458,0.218448250924241,0.610525010168114,0.358664882901748,0.722364873233569,0.210483925041434,0,0,0,0,0,0,0,0,0.59954311805281,0.358450567934609,0.70572276661437,0.214527113803137,0.600658226519143,0.341045325149823,0.704963615441207,0.169409924177705,0.414276998169616,0.395833333333333,0,0,0.397938144329897,0.375,0.545454545454545,0,"Hard",-37,1.25
"28",0,0,-1,1.18275154000001,10,-7315,0.599693763714203,0.331076013613701,0.674360501658679,0.166623244192049,0.615005644706902,0.327887454171068,0.707880949070292,0.163650352960124,0.512404047,0.235343686,0.559523809666667,0.0555555556666667,0.604395604,0.295774648,0.75,0.166666667,0.587415412916026,0.334897647567307,0.643579874734395,0.165244307154733,0.615487093558443,0.347894704607187,0.705129122860646,0.197676072391871,0.389061732438186,0.397489539748954,0,0,0.387149917627677,0.44954128440367,0.484189723320158,0,"Hard",-14,1.24
"30",0,0,0,2.39561944,-80,1495,0.62915369732627,0.386616505345686,0.774155877554738,0.278853212022232,0.64017998229733,0.377977738720956,0.798558282428584,0.26131419880217,0.685658348333333,0.428861788666667,0.864102564,0.369963369666667,0.720795215,0.393292683,0.95,0.2857142855,0.634159051640031,0.377080959797971,0.774799531091348,0.250147207405039,0.644671826970103,0.367951765649046,0.816677746447976,0.24658710322723,0.522986519184238,0.512761020881671,0.666666666666667,0.5,0.46195652173913,0.428571428571429,0.524229074889868,0,"Hard",60,2.47
"31",0,0,0,-10.84462697,67,-880,0.623819330935338,0.362654297669317,0.751269367570413,0.222203848531942,0.624571849678069,0.3669503228804,0.754087189903542,0.232479757209008,0.825,0.488372093,1,0.5,0.825,0.488372093,1,0.5,0.626421191696302,0.363564826188008,0.763549733933164,0.224363557418611,0.62829714956531,0.365655082444033,0.763712515306561,0.227776053886469,0.475982532751092,0.5,1,1,0.47534516765286,0.516666666666667,0.598513011152416,1,"Hard",-8,1.79
"32",0,0,0,0.788501019999998,122,-2515,0.646345485447263,0.333560442477126,0.796304281007791,0.166624043392283,0.658377380152283,0.326638122696648,0.817822591675093,0.156819121029547,0,0,0,0,0,0,0,0,0.631848940203707,0.319766129320766,0.772093768292216,0.142070414446193,0.647404096299787,0.326145842567883,0.802928094772116,0.153285677138216,0.448996092170866,0.44759511844939,0,0,0.332355816226784,0.398230088495575,0.539857932123125,0,"Hard",-26,1.29
"33",1,0,0,8.99657768,127,-4855,0.622595777178711,0.341900416016864,0.741024013902436,0.186756344038969,0.624058025348066,0.329030741830038,0.738890623431301,0.169929474957898,0.6732336955,0.349099099,0.8,0.15,0.565217391,0.333333333,0.6,0.2,0.618733663322029,0.333371815664574,0.734404771205885,0.170535942602608,0.629855574434586,0.312987754726573,0.753633663389663,0.137590766260336,0.425411025145068,0.395936298736958,0.5,0,0.394117647058824,0.349854227405248,0.386191677175284,1,"Hard",-61,5.5
"35",0,0,0,-0.438056130000003,97,-848,0.61920522720058,0.36588925441324,0.732520214654571,0.224230789141953,0.625225971495549,0.36508953722503,0.747541020429341,0.223269953299726,0.6290865925,0.4574980155,0.8283903595,0.402419802666667,0.6305795866,0.4639976186,0.848613886,0.4101764904,0.623061842443687,0.365106950345979,0.747901274346193,0.217295257360349,0.63195252835538,0.375717371995481,0.764958438114357,0.243740633451411,0.477039810800158,0.504201680672269,0.833333333333333,0.8,0.439882697947214,0.56,0.460028050490884,1,"Hard",-13,2.06
"37",0,0,-1,-13.42915812,-118,3310,0.637342129331299,0.383571922323745,0.775370166440149,0.257713604191268,0.638029774030506,0.371119830012333,0.772103679547925,0.236899293010976,0.595585388,0.4406502015,0.686868687,0.3315789475,0,0,0,0,0.646662795741715,0.379679243545828,0.805194992056872,0.249536443494415,0.646091550860534,0.375564500559488,0.793132722006417,0.234975550862374,0.568853523871387,0.556581567988412,0.5,0,0.625235404896422,0.620253164556962,0.622380553227158,1,"Hard",43,1.32
"42",-1,0,0,-10.98699521,-142,1475,0.668932452013981,0.330963241005399,0.829548852050882,0.170096044526519,0.673061972771734,0.32536996540985,0.846715216946547,0.156916458152615,0,0,0,0,0,0,0,0,0.672282122685195,0.333842046856708,0.85249093236292,0.181652957105622,0.694941323050941,0.343697810420939,0.919276358533933,0.19314038525932,0.499553969669938,0.453488372093023,0,0,0.549815498154982,0.645161290322581,0.457589285714286,0,"Hard",26,2.4
"43",0,0,0,3.504449,-97,410,0.64776665171769,0.339107279850245,0.799205285215218,0.175205387641571,0.651688763377186,0.33774202749595,0.807823873533424,0.172602596145857,0.701298701,0.5,0.923076923,0.5,0,0,0,0,0.6438610508423,0.340288790595162,0.797710478940547,0.173260699695726,0.65284182708647,0.338513725537391,0.817989872390398,0.164919168746713,0.492449922958398,0.518734574826116,1,0,0.488126649076517,0.5,0.501989234729698,1,"Hard",8,1.58
"45",1,0,1,-8.80219028,0,-702,0.602921989766776,0.366522388253803,0.723147742609759,0.211671742195035,0.605500705883965,0.345774759168813,0.736832680130044,0.161333543951508,0,0,0,0,0,0,0,0,0.613683665790793,0.371658594271073,0.753702603861868,0.224878408991042,0,0,0,0,0.357142857142857,0,0,0,0.428571428571429,0,0.656891495601173,1,"Hard",-63,1.81
"46",0,0,0,4.55030801,0,99,0.627546078088308,0.337577848700655,0.772919307675921,0.176994035057166,0.637168920846316,0.344556565066668,0.793771474324694,0.187803084390886,0,0,0,0,0,0,0,0,0.638497080455492,0.345456270466309,0.788530381682655,0.213455451568288,0.637721401892523,0.36139794956834,0.807282147134721,0.242918686900164,0.393136255521577,0.405961674946771,0,0,0.376344086021505,0.3125,0.561915887850467,0,"Hard",5,1.8
"47",0,0,0,-3.71252567,0,534,0.648060604386323,0.37647672842442,0.815401683175491,0.231422058218342,0.671965250911409,0.390111799067986,0.867558716467691,0.253179915375689,0,0,0,0,0,0,0,0,0.660662845814173,0.404257695650827,0.83887886231095,0.304434840493731,0.711565551471021,0.439071844661127,0.898936170247142,0.360970107086787,0.567120622568093,0.815264527320035,0,0,0.66824644549763,1,0.572953736654804,1,"Hard",20,1.09
"49",1,0,0,0.648870629999998,0,-180,0.657770095973316,0.333963584937253,0.821090740325786,0.179894889619422,0.662919610553443,0.327200313427087,0.827042356253755,0.168027785948845,0,0,0,0,0,0,0,0,0.651433340218769,0.337438275837811,0.825046902909149,0.17899367764797,0.669565751968735,0.32518586692723,0.868144841663427,0.127337793232547,0.492640797956453,0.504504504504504,0,0,0.482142857142857,0.529411764705882,0.493159401845371,1,"Hard",-18,2.01
"50",0,0,0,10.40930869,0,-15,0.637139869893556,0.3662407091205,0.768220404837598,0.225501785082621,0.657721888443637,0.339068095731524,0.815049092117952,0.186923270676399,0.5681910985,0.297479954,0.607142857,0.126984127,0.516129032,0.244444444,0.5,0.111111111,0.641075429710603,0.362561719569545,0.788760728894075,0.213946046062184,0,0,0,0,0.459847844463229,0.5,0,0,0.424242424242424,0,0.44973544973545,0,"Hard",-2,1.59
"52",0,0,1,-4.65434634,0,-390,0.648489750364713,0.325255865373552,0.827737740948154,0.189578857745574,0.656957425000947,0.337496991610648,0.838116562515888,0.203071426241039,0,0,0,0,0,0,0,0,0.645830864210381,0.3250691226919,0.822776404262564,0.191658874764428,0.646176877157228,0.330798983277977,0.806422858515301,0.189955706719433,0.411764705882353,0.454545454545455,0,0,0.441624365482234,0.447368421052632,0.377104377104377,0,"Hard",-25,1.58
"53",0,0,1,12.99931554,0,-470,0.630637698016056,0.36070837314607,0.767178869691464,0.22062143061539,0.640876615010892,0.363637851281446,0.780102646892744,0.22670093939195,0,0,0,0,0,0,0,0,0.634129896842268,0.359746879989874,0.778650381835142,0.204529110899954,0.63897715903218,0.363585484542216,0.77620290399949,0.214216633387922,0.45933014354067,0.469809959105124,0,0,0.398416886543536,0.388663967611336,0.436157517899761,1,"Hard",-24,2.04
"55",0,0,0,2.28336755,0,-463,0.622648466307021,0.374072547062501,0.76483435015769,0.228932841639251,0.621443426603321,0.368842142889857,0.75618048394446,0.221572449899384,0.576576577,0.283783784,0.692307692,0.076923077,0.576576577,0.283783784,0.692307692,0.076923077,0.628629795592824,0.371333336072542,0.788979872702773,0.228895143983887,0.627020995709072,0.359487529655848,0.787386541067325,0.201359935026043,0.452930728241563,0.452657299938913,0,0,0.440199335548173,0.416666666666667,0.488877392653906,1,"Hard",-24,2.39
"57",1,0,0,12.50924025,0,-376,0.640375871736346,0.34755319420749,0.774911028082468,0.183459969830922,0.638416633086232,0.3409506972627,0.769829929461568,0.163391967414753,0.66,0.353968254,0.839160839,0.167832168,0.66,0.353968254,0.839160839,0.167832168,0.650217428376977,0.334343103388048,0.801898963812815,0.148568300181008,0.648603566518126,0.320070014986674,0.793808920950232,0.132247942466114,0.512922465208748,0.511751801942965,0.5,0.5,0.557522123893805,0.571428571428571,0.619333697433097,1,"Hard",-13,2
"59",1,0,1,10.48049282,0,180,0.631591121408683,0.363315645611293,0.758247027175598,0.218501592188966,0.66242826030417,0.378313448672086,0.833311410369244,0.237009686899829,0,0,0,0,0,0,0,0,0.626912033858057,0.35986440433595,0.759270140770095,0.205182069252374,0.686519529940911,0.404380046552954,0.877192982631579,0.294117647058824,0.477611940298507,0.649746192893401,0,0,0.495327102803738,1,0.641068447412354,1,"Hard",20,1.42
"60",-1,0,0,1.04859685,64,-3135,0.61606541614523,0.383609943574513,0.746236972254266,0.274180222959154,0.630402266948942,0.373592440980379,0.782309999191961,0.255908153977395,0.48613864675,0.43473805875,0.49117647025,0.33406862725,0.58677686,0.454545455,0.764705882,0.352941176,0.61183234249577,0.387621433487107,0.749739290109372,0.279007483311755,0.61945599387768,0.371851092197578,0.778303274760916,0.236309343082512,0.449663729732548,0.444632648740207,0.5,1,0.470756062767475,0.428571428571429,0.460227272727273,0,"Hard",-10,1.29
"62",0,0,0,5.95756332,-116,310,0.608669506974336,0.3840052354803,0.721356312299624,0.266773296002917,0.622009569319661,0.385587948305146,0.746395674900191,0.273869135861003,0.608908046,0.4094466935,0.727777778,0.2666666665,0.683333333,0.403508772,0.9,0.333333333,0.618078933882982,0.378852852379693,0.738969533489573,0.252241165981311,0.638811228240721,0.38029977669407,0.764040094973704,0.26142546031783,0.528639182780007,0.568129330254042,0.5,1,0.543071161048689,0.651785714285714,0.497027348394768,0,"Hard",1,2.13
"63",0,0,0,1.52224503,31,974,0.635511010113677,0.352087797199353,0.770495084012654,0.186254928003274,0.631755781434842,0.345594343268558,0.76259744056236,0.17240160256958,0.667235468,0.364459984666667,0.9125,0.236652236666667,0.6591865355,0.364871795,0.86875,0.1883116885,0.633921012609059,0.335882815688773,0.765295046873338,0.16893960245705,0.639900539966917,0.329460037053911,0.788033213167398,0.149096520285216,0.516332553169838,0.469522714203565,0.666666666666667,0.5,0.463291139240506,0.490384615384615,0.580540037243948,1,"Hard",11,1.65
"65",0,0,0,3.76180698,166,-835,0.62833605791726,0.382772635645518,0.774878199383846,0.271463868283746,0.630294357871268,0.369346539966069,0.779423155223865,0.25020193256722,0.560719459,0.3967484925,0.6848484845,0.25,0.560719459,0.3967484925,0.6848484845,0.25,0.616802477915937,0.372517717587244,0.745868735236361,0.25726820513004,0.613265833822239,0.343575592299056,0.746231967846053,0.196311307119509,0.494811230661488,0.477196885428254,0.5,0.5,0.46218487394958,0.36734693877551,0.490451036164161,1,"Hard",-6,2.33
"66",-1,0,1,9.80150582,-20,-3925,0.623180669759364,0.362227094441892,0.756285170433562,0.219747517374599,0.638763721827234,0.363378033313974,0.789178989834646,0.222384535885269,0.683006536,0.433354292666667,0.904166666666667,0.35,0.745098039,0.405797101,0.9,0.3,0.622822079538564,0.359089050563077,0.762975597253417,0.197685975568125,0.657668642584265,0.358873922985937,0.835842757725811,0.200753464712345,0.423237942306589,0.438356164383562,1,1,0.388461538461538,0.447368421052632,0.421182266009852,0,"Hard",-35,1.25
"67",0,0,0,-3.54277892,-9,359,0.639389261522527,0.378559718119374,0.786477932514348,0.24137425983528,0.646327970814786,0.378445905583379,0.800526984803483,0.245491484376266,0,0,0,0,0,0,0,0,0.640370343629833,0.380521104886816,0.807944711809308,0.246388960125737,0.649905178152979,0.373162388687959,0.816453979863987,0.237634122681105,0.558276923076923,0.568181818181818,0,0,0.602409638554217,0.625,0.472727272727273,1,"Hard",23,1.43
"69",0,0,0,-1.42094455,34,1188,0.617447647925419,0.383523106052993,0.73649590666142,0.249009293419074,0.618946791263228,0.384038858775114,0.741662556618327,0.254214760419454,0.523255814,0.328947368,0.538461538,0.153846154,0.523255814,0.328947368,0.538461538,0.153846154,0.613121860298841,0.389398291802673,0.74952886966453,0.271719717096495,0.608795361047324,0.381731178182896,0.747889263953737,0.261066243273694,0.490659146986253,0.490909090909091,0,0,0.510204081632653,0.457142857142857,0.450884086444008,1,"Hard",117,1.54
"70",0,0,0,4.55578371,7,240,0.632079139764011,0.388566623320998,0.774245767378671,0.262040194297658,0.649422899773619,0.376978176026665,0.815910258606615,0.243782325679328,0.6875,0.183333333,0.8,0,0.6875,0.183333333,0.8,0,0.628030375789159,0.389929812450425,0.761379008744309,0.261098534703273,0.651687279826646,0.374785930548529,0.829729991684211,0.189099416528587,0.53006329113924,0.569411764705882,0,0,0.519230769230769,0.483870967741935,0.489671931956258,0,"Hard",22,1.62
"71",0,0,0,14.95687885,7,1706,0.632751831458004,0.390028294918344,0.775231646536461,0.279437417147989,0.631313570298963,0.376732815576436,0.763183847533436,0.268634801203068,0.525423729,0.227272727,0.555555556,0,0.525423729,0.227272727,0.555555556,0,0.646114134850548,0.406394583096906,0.807142891032175,0.305971929550556,0.644390533691693,0.404251512426518,0.807203499718422,0.328357991126326,0.584291187739464,0.562886597938144,0,0,0.590909090909091,0.6,1,1,"Hard",87,1.86
"72",0,0,0,4.85968515,-23,-885,0.623537149334513,0.354708765807612,0.731554730317907,0.192483474125477,0.630243967883356,0.348830391542521,0.74402019029232,0.183288496235955,0.61831046075,0.345109631,0.715070387,0.23985042725,0.61831046075,0.345109631,0.715070387,0.23985042725,0.613294725275109,0.347612705791806,0.714887447953928,0.17456796397473,0.615257886464762,0.349752742756114,0.710906444079474,0.187623041050044,0.479864143619602,0.471615720524017,0.5,0.5,0.39746835443038,0.387755102040816,0.493670886075949,0,"Hard",-32,1.75
"73",1,0,0,-8.38056126,0,3855,0.661523518470865,0.356177868401178,0.821300064565382,0.227606490728162,0.667751506356886,0.346702592891024,0.837901709796586,0.19966425221145,0,0,0,0,0,0,0,0,0.67317845488605,0.356616797596353,0.844933604062172,0.22184904549711,0.694933888562229,0.344620598669427,0.88559115269423,0.192954137141511,0.537489469250211,0.525304292120436,0,0,0.59375,0.571428571428571,0.445219818562456,1,"Hard",31,1.46
"74",0,0,-1,-8.27378508,0,325,0.619235324088273,0.367440267024211,0.763885015612094,0.223531093847114,0.62059677039376,0.365255039639597,0.764587001607082,0.230184188045798,0.64,0.369863014,0.818181818,0.272727273,0.64,0.369863014,0.818181818,0.272727273,0.625640235288487,0.366046802810408,0.78595619357536,0.222452507584223,0.614412635386466,0.371303305162199,0.74497771023587,0.242219461774617,0.512795356062464,0.512359550561798,1,1,0.542600896860986,0.529411764705882,0.588348579682234,0,"Hard",14,2.3
